chr_type,enhancer,gene,promoter_up,promoter_down,encode_no
chr7,chr7:87472200-87472800,ENSG00000006634,chr7:87504531-87505530,chr7:87538857-87539856,50
chr6,chr6:146881400-146882400,ENSG00000118508,chr6:146863829-146864828,chr6:146876102-146877101,50
chr1,chr1:157808200-157810600,ENSG00000163534,chr1:157763193-157764192,chr1:157789896-157790895,50
chr5,chr5:102479000-102479200,ENSG00000145723,chr5:102420704-102421703,chr5:102455856-102456855,50
chr7,chr7:99715200-99716400,ENSG00000221838,chr7:99698172-99699171,chr7:99707969-99708968,50
chr2,chr2:102910800-102913200,ENSG00000115602,chr2:102926962-102927961,chr2:102968498-102969497,50
chr1,chr1:186822800-186824200,ENSG00000116711,chr1:186797085-186798084,chr1:186958114-186959113,50
chr1,chr1:46021400-46022200,ENSG00000132780,chr1:46048518-46049517,chr1:46084567-46085566,50
chr19,chr19:15984200-15985000,ENSG00000186115,chr19:15987833-15988832,chr19:16008931-16009930,50
chr14,chr14:78235000-78235600,ENSG00000100603,chr14:78182942-78183941,chr14:78227551-78228550,50
chr3,chr3:32563600-32564600,ENSG00000091317,chr3:32521804-32522803,chr3:32544901-32545900,50
chr10,chr10:135122600-135124400,ENSG00000151651,chr10:135074907-135075906,chr10:135090373-135091372,50
chr6,chr6:36390000-36391000,ENSG00000112078,chr6:36409544-36410543,chr6:36458921-36459920,50
chr13,chr13:50549200-50551400,ENSG00000204977,chr13:50569024-50570023,chr13:50594618-50595617,50
chr1,chr1:54506400-54508400,ENSG00000116209,chr1:54496347-54497346,chr1:54519178-54520177,50
chr7,chr7:143004000-143004200,ENSG00000188037,chr7:143012219-143013218,chr7:143049177-143050176,50
chr12,chr12:58017600-58018000,ENSG00000135454,chr12:58016193-58017192,chr12:58027139-58028138,50
chr3,chr3:183406600-183407600,ENSG00000163872,chr3:183414606-183415605,chr3:183530414-183531413,50
chr1,chr1:205664800-205665400,ENSG00000158715,chr1:205625979-205626978,chr1:205649588-205650587,50
chr4,chr4:74957400-74957600,ENSG00000081041,chr4:74961752-74962751,chr4:74965011-74966010,50
chr4,chr4:299400-301600,ENSG00000131127,chr4:330603-331602,chr4:378654-379653,50
chr1,chr1:205665600-205667200,ENSG00000158715,chr1:205625979-205626978,chr1:205649588-205650587,50
chr2,chr2:44231400-44233600,ENSG00000138095,chr2:44112647-44113646,chr2:44223145-44224144,50
chr3,chr3:88143400-88145200,ENSG00000229729,chr3:88107424-88108423,chr3:88188124-88189123,50
chr17,chr17:79933800-79935800,ENSG00000169689,chr17:79975578-79976577,chr17:79981984-79982983,50
chr1,chr1:109761000-109761800,ENSG00000031698,chr1:109755540-109756539,chr1:109780792-109781791,50
chr17,chr17:18266800-18268000,ENSG00000214860,chr17:18279976-18280975,chr17:18292962-18293961,50
chr22,chr22:29273600-29274800,ENSG00000183579,chr22:29278580-29279579,chr22:29453476-29454475,50
chr14,chr14:23208000-23210000,ENSG00000155463,chr14:23234731-23235730,chr14:23241008-23242007,50
chr11,chr11:4596600-4599000,ENSG00000167333,chr11:4618902-4619901,chr11:4629490-4630489,50
chr2,chr2:128452600-128454400,ENSG00000173349,chr2:128457597-128458596,chr2:128461386-128462385,50
chr20,chr20:44727800-44730000,ENSG00000124160,chr20:44688624-44689623,chr20:44718592-44719591,50
chr18,chr18:33724200-33725000,ENSG00000134759,chr18:33708407-33709406,chr18:33757910-33758909,50
chr13,chr13:20201000-20202200,ENSG00000196199,chr13:20206788-20207787,chr13:20247600-20248599,50
chr2,chr2:32262400-32264400,ENSG00000162959,chr2:32089129-32090128,chr2:32236300-32237299,50
chr20,chr20:31300000-31301800,ENSG00000149600,chr20:31289493-31290492,chr20:31331804-31332803,50
chr2,chr2:68584600-68585600,ENSG00000115956,chr2:68591305-68592304,chr2:68624586-68625585,50
chr2,chr2:209162200-209163600,ENSG00000115020,chr2:209129991-209130990,chr2:209223476-209224475,50
chr8,chr8:105486600-105487400,ENSG00000147647,chr8:105341552-105342551,chr8:105479282-105480281,50
chr6,chr6:36436000-36438000,ENSG00000112078,chr6:36409544-36410543,chr6:36458921-36459920,50
chr9,chr9:104179800-104181800,ENSG00000136870,chr9:104160155-104161154,chr9:104172943-104173942,50
chr2,chr2:201905000-201906600,ENSG00000119013,chr2:201935156-201936155,chr2:201950474-201951473,50
chr1,chr1:183473800-183476200,ENSG00000116698,chr1:183440351-183441350,chr1:183567382-183568381,50
chr3,chr3:169926600-169927000,ENSG00000163558,chr3:169939153-169940152,chr3:170023770-170024769,50
chr6,chr6:26235600-26237400,ENSG00000124578,chr6:26245886-26246885,chr6:26247260-26248259,50
chr9,chr9:115122200-115124600,ENSG00000119471,chr9:115141217-115142216,chr9:115234691-115235690,50
chr4,chr4:185583000-185584000,ENSG00000164305,chr4:185547850-185548849,chr4:185570664-185571663,50
chr1,chr1:1841000-1843400,ENSG00000178821,chr1:1848029-1849028,chr1:1850713-1851712,50
chrX,chrX:153655000-153657400,ENSG00000013563,chrX:153628579-153629578,chrX:153640450-153641449,50
chr17,chr17:72998000-72999600,ENSG00000167862,chr17:73007765-73008764,chr17:73017357-73018356,50
chr1,chr1:208100200-208101400,ENSG00000174059,chr1:208056594-208057593,chr1:208084748-208085747,50
chr3,chr3:138319000-138320000,ENSG00000114107,chr3:138212186-138213185,chr3:138313381-138314380,50
chr8,chr8:42266000-42268000,ENSG00000078668,chr8:42248142-42249141,chr8:42263416-42264415,50
chr19,chr19:57861600-57862200,ENSG00000256060,chr19:57873879-57874878,chr19:57876722-57877721,50
chr5,chr5:149778000-149779600,ENSG00000019582,chr5:149780200-149781199,chr5:149792493-149793492,50
chr11,chr11:125432400-125433000,ENSG00000134910,chr11:125460607-125461606,chr11:125495111-125496110,50
chr4,chr4:25331800-25334000,ENSG00000168228,chr4:25313407-25314406,chr4:25372006-25373005,50
chr7,chr7:66429200-66430000,ENSG00000198874,chr7:66459160-66460159,chr7:66704502-66705501,50
chr10,chr10:7812400-7814400,ENSG00000165629,chr10:7829092-7830091,chr10:7849779-7850778,50
chr15,chr15:34635400-34636000,ENSG00000140199,chr15:34524460-34525459,chr15:34630262-34631261,50
chr2,chr2:201962600-201963800,ENSG00000003402,chr2:201979827-201980826,chr2:202041411-202042410,50
chr14,chr14:54969000-54971000,ENSG00000100532,chr14:54975530-54976529,chr14:55005568-55006567,50
chr19,chr19:46204800-46205600,ENSG00000125743,chr19:46189712-46190711,chr19:46195828-46196827,50
chr6,chr6:110038400-110040000,ENSG00000112367,chr6:110011499-110012498,chr6:110146632-110147631,50
chr1,chr1:207954000-207955200,ENSG00000117335,chr1:207924402-207925401,chr1:207968859-207969858,50
chr17,chr17:49314800-49317200,ENSG00000011260,chr17:49336889-49337888,chr17:49375298-49376297,50
chr5,chr5:33427800-33428200,ENSG00000113407,chr5:33439802-33440801,chr5:33469645-33470644,50
chr1,chr1:150979200-150981000,ENSG00000143418,chr1:150932059-150933058,chr1:150947480-150948479,50
chr7,chr7:2422600-2425000,ENSG00000136213,chr7:2442223-2443222,chr7:2474243-2475242,50
chr11,chr11:10899600-10901600,ENSG00000236287,chr11:10832621-10833620,chr11:10880344-10881343,50
chr8,chr8:21789400-21791600,ENSG00000147443,chr8:21765384-21766383,chr8:21771372-21772371,50
chr8,chr8:21785200-21785400,ENSG00000147443,chr8:21765384-21766383,chr8:21771372-21772371,50
chr10,chr10:7812400-7814400,ENSG00000151657,chr10:7791925-7792924,chr10:7829991-7830990,50
chr12,chr12:56659200-56660400,ENSG00000139645,chr12:56630591-56631590,chr12:56652176-56653175,50
chr12,chr12:7886000-7887600,ENSG00000184344,chr12:7841378-7842377,chr12:7848373-7849372,50
chr3,chr3:88101000-88103000,ENSG00000229729,chr3:88107424-88108423,chr3:88188124-88189123,50
chr19,chr19:45344200-45345400,ENSG00000130202,chr19:45348432-45349431,chr19:45392486-45393485,50
chr1,chr1:22272800-22274400,ENSG00000142798,chr1:22147738-22148737,chr1:22263791-22264790,51
chr21,chr21:44270600-44272000,ENSG00000160194,chr21:44298754-44299753,chr21:44333415-44334414,51
chr6,chr6:24649400-24651800,ENSG00000137261,chr6:24543332-24544331,chr6:24646384-24647383,51
chr1,chr1:38397800-38399400,ENSG00000204084,chr1:38325369-38326368,chr1:38412730-38413729,51
chr2,chr2:219422400-219424800,ENSG00000135913,chr2:219313974-219314973,chr2:219433085-219434084,51
chr6,chr6:42550000-42551400,ENSG00000024048,chr6:42530800-42531799,chr6:42661243-42662242,51
chr10,chr10:7812400-7814400,ENSG00000151657,chr10:7791925-7792924,chr10:7829991-7830990,51
chr12,chr12:118804600-118805000,ENSG00000111707,chr12:118813185-118814184,chr12:118855841-118856840,51
chr19,chr19:12801400-12802600,ENSG00000104774,chr19:12756325-12757324,chr19:12777557-12778556,51
chr6,chr6:4001800-4004000,ENSG00000112739,chr6:4020501-4021500,chr6:4065218-4066217,51
chr1,chr1:150267000-150269400,ENSG00000117362,chr1:150236804-150237803,chr1:150241981-150242980,51
chr7,chr7:2422600-2425000,ENSG00000106266,chr7:2290405-2291404,chr7:2393954-2394953,51
chr20,chr20:43157800-43160200,ENSG00000132824,chr20:43123862-43124861,chr20:43150751-43151750,51
chr6,chr6:26211600-26212800,ENSG00000188987,chr6:26187938-26188937,chr6:26189305-26190304,51
chr1,chr1:114376800-114377600,ENSG00000081019,chr1:114303454-114304453,chr1:114355099-114356098,51
chr22,chr22:25778600-25780600,ENSG00000100068,chr22:25746385-25747384,chr22:25801345-25802344,51
chr11,chr11:62389400-62391400,ENSG00000089597,chr11:62391298-62392297,chr11:62414105-62415104,51
chr14,chr14:24758400-24760200,ENSG00000196943,chr14:24768068-24769067,chr14:24778331-24779330,51
chr17,chr17:8203600-8204600,ENSG00000108961,chr17:8190815-8191814,chr17:8193411-8194410,51
chr12,chr12:62975400-62977400,ENSG00000221949,chr12:62994531-62995530,chr12:62997215-62998214,51
chr11,chr11:94210000-94212200,ENSG00000168876,chr11:94225795-94226794,chr11:94232750-94233749,51
chr19,chr19:12798400-12799800,ENSG00000095059,chr19:12785531-12786530,chr19:12792717-12793716,51
chr6,chr6:28242400-28243000,ENSG00000187626,chr6:28211401-28212400,chr6:28227012-28228011,51
chr17,chr17:15590200-15591000,ENSG00000187607,chr17:15601891-15602890,chr17:15640875-15641874,51
chr22,chr22:24934400-24935200,ENSG00000100028,chr22:24950471-24951470,chr22:25005948-25006947,51
chr22,chr22:41225000-41226600,ENSG00000100372,chr22:41164634-41165633,chr22:41215404-41216403,51
chr5,chr5:138757800-138758600,ENSG00000170469,chr5:138731252-138732251,chr5:138739778-138740777,51
chr6,chr6:153057200-153058800,ENSG00000120279,chr6:153018030-153019029,chr6:153045703-153046702,51
chr12,chr12:124229000-124229600,ENSG00000185344,chr12:124195865-124196864,chr12:124246303-124247302,51
chr6,chr6:33268000-33270000,ENSG00000223501,chr6:33217049-33218048,chr6:33239825-33240824,51
chr16,chr16:18827200-18829400,ENSG00000170540,chr16:18801991-18802990,chr16:18813001-18814000,51
chr1,chr1:226193400-226195600,ENSG00000143751,chr1:226169403-226170402,chr1:226187033-226188032,51
chr6,chr6:10811400-10811600,ENSG00000111837,chr6:10761956-10762955,chr6:10838765-10839764,51
chr6,chr6:2825600-2827000,ENSG00000021355,chr6:2831566-2832565,chr6:2842241-2843240,51
chr11,chr11:3828600-3829400,ENSG00000110713,chr11:3691313-3692312,chr11:3819023-3820022,51
chr20,chr20:44427000-44428800,ENSG00000175063,chr20:44440215-44441214,chr20:44445597-44446596,51
chr12,chr12:14962800-14965000,ENSG00000084463,chr12:14938410-14939409,chr12:14956475-14957474,51
chr1,chr1:203577600-203579800,ENSG00000058668,chr1:203594689-203595688,chr1:203713210-203714209,51
chr17,chr17:49314800-49317200,ENSG00000011260,chr17:49336889-49337888,chr17:49375298-49376297,51
chr12,chr12:57999000-58001400,ENSG00000240771,chr12:58002963-58003962,chr12:58013163-58014162,51
chr22,chr22:22888600-22889400,ENSG00000220891,chr22:22900750-22901749,chr22:22909008-22910007,51
chr17,chr17:3607400-3608800,ENSG00000177602,chr17:3626211-3627210,chr17:3630068-3631067,51
chr19,chr19:17429800-17430200,ENSG00000127220,chr19:17401940-17402939,chr19:17421046-17422045,51
chr17,chr17:42071600-42073800,ENSG00000131096,chr17:42029106-42030105,chr17:42081838-42082837,51
chr12,chr12:14962800-14965000,ENSG00000182993,chr12:14955506-14956505,chr12:15059521-15060520,51
chr1,chr1:114378200-114379800,ENSG00000081019,chr1:114303454-114304453,chr1:114355099-114356098,51
chr20,chr20:5980400-5982800,ENSG00000088766,chr20:5985736-5986735,chr20:6020700-6021699,51
chr16,chr16:1288000-1288600,ENSG00000095917,chr16:1305060-1306059,chr16:1308533-1309532,51
chr19,chr19:57900000-57901200,ENSG00000256060,chr19:57873879-57874878,chr19:57876722-57877721,51
chr15,chr15:64734200-64734400,ENSG00000180357,chr15:64751941-64752940,chr15:64978265-64979264,51
chr3,chr3:51419200-51421600,ENSG00000179837,chr3:51427731-51428730,chr3:51435331-51436330,51
chr17,chr17:78970400-78972200,ENSG00000176108,chr17:78964398-78965397,chr17:78983318-78984317,51
chr9,chr9:131019200-131021600,ENSG00000175854,chr9:131036658-131037657,chr9:131051270-131052269,51
chr9,chr9:132817000-132818600,ENSG00000187239,chr9:132648466-132649465,chr9:132805474-132806473,51
chr15,chr15:75625800-75628000,ENSG00000140398,chr15:75638296-75639295,chr15:75647593-75648592,51
chr10,chr10:7812400-7814400,ENSG00000165629,chr10:7829092-7830091,chr10:7849779-7850778,51
chr17,chr17:26924400-26926200,ENSG00000087111,chr17:26879401-26880400,chr17:26898891-26899890,51
chr17,chr17:74251200-74253200,ENSG00000185262,chr17:74260283-74261282,chr17:74267376-74268375,51
chr14,chr14:31886400-31888800,ENSG00000203546,chr14:31802518-31803517,chr14:31926648-31927647,51
chr1,chr1:54405400-54406800,ENSG00000081870,chr1:54381247-54382246,chr1:54411603-54412602,51
chr7,chr7:44056600-44058400,ENSG00000136279,chr7:44083239-44084238,chr7:44109056-44110055,51
chr4,chr4:474200-474800,ENSG00000182903,chr4:418604-419603,chr4:492946-493945,51
chr17,chr17:73055200-73057600,ENSG00000180901,chr17:73027670-73028669,chr17:73061985-73062984,51
chr2,chr2:24281000-24282200,ENSG00000219626,chr2:24298396-24299395,chr2:24392510-24393509,51
chr21,chr21:44270600-44272000,ENSG00000160193,chr21:44262204-44263203,chr21:44299679-44300678,51
chr11,chr11:3828600-3829400,ENSG00000148985,chr11:3817954-3818953,chr11:3847602-3848601,51
chr11,chr11:18516800-18518600,ENSG00000074319,chr11:18488883-18489882,chr11:18548780-18549779,51
chr14,chr14:68129600-68131200,ENSG00000100568,chr14:68112792-68113791,chr14:68141549-68142548,51
chr16,chr16:70542200-70543600,ENSG00000189091,chr16:70556691-70557690,chr16:70608821-70609820,51
chr20,chr20:5065400-5067000,ENSG00000089063,chr20:5079486-5080485,chr20:5093750-5094749,51
chr22,chr22:22000400-22001800,ENSG00000128228,chr22:21995550-21996549,chr22:21998588-21999587,51
chr2,chr2:62133400-62135400,ENSG00000173163,chr2:62114859-62115858,chr2:62374383-62375382,51
chrX,chrX:51226000-51228200,ENSG00000196368,chrX:51231863-51232862,chrX:51239449-51240448,51
chr4,chr4:151928000-151930000,ENSG00000198589,chr4:151184594-151185593,chr4:151936880-151937879,51
chr3,chr3:155587000-155588600,ENSG00000169359,chr3:155537813-155538812,chr3:155572219-155573218,51
chr13,chr13:20201000-20202200,ENSG00000196199,chr13:20206788-20207787,chr13:20247600-20248599,51
chr22,chr22:41215600-41217600,ENSG00000196236,chr22:41252081-41253080,chr22:41363839-41364838,51
chr2,chr2:241611400-241613000,ENSG00000184945,chr2:241630262-241631261,chr2:241637901-241638900,51
chr3,chr3:119388600-119389800,ENSG00000138495,chr3:119372360-119373359,chr3:119396302-119397301,51
chr22,chr22:24702600-24702800,ENSG00000100014,chr22:24665786-24666785,chr22:24813709-24814708,51
chr3,chr3:50334400-50336600,ENSG00000214706,chr3:50324163-50325162,chr3:50330350-50331349,51
chr12,chr12:56710400-56711600,ENSG00000135473,chr12:56709007-56710006,chr12:56727838-56728837,51
chr9,chr9:125782600-125784400,ENSG00000188394,chr9:125795806-125796805,chr9:125797976-125798975,51
chr1,chr1:11097400-11099400,ENSG00000120948,chr1:11071414-11072413,chr1:11085797-11086796,51
chr4,chr4:76622800-76624800,ENSG00000138768,chr4:76648777-76649776,chr4:76735383-76736382,51
chr3,chr3:179765600-179766400,ENSG00000114757,chr3:179511746-179512745,chr3:179754842-179755841,51
chr22,chr22:22888600-22889400,ENSG00000185686,chr22:22889123-22890122,chr22:22901769-22902768,51
chr6,chr6:79793000-79795000,ENSG00000146247,chr6:79644584-79645583,chr6:79787954-79788953,51
chr7,chr7:99715200-99716400,ENSG00000221838,chr7:99698172-99699171,chr7:99707969-99708968,51
chr18,chr18:12678800-12680200,ENSG00000101624,chr18:12660832-12661831,chr18:12702777-12703776,51
chr22,chr22:50929000-50930400,ENSG00000025770,chr22:50945645-50946644,chr22:50961902-50962901,51
chr6,chr6:122805600-122807000,ENSG00000135549,chr6:122792076-122793075,chr6:123047519-123048518,51
chr14,chr14:23798800-23799000,ENSG00000100836,chr14:23789498-23790497,chr14:23795395-23796394,51
chr11,chr11:10899600-10901600,ENSG00000236287,chr11:10832621-10833620,chr11:10880344-10881343,51
chr22,chr22:23537200-23537800,ENSG00000186716,chr22:23520891-23521890,chr22:23660225-23661224,51
chr3,chr3:123326800-123328400,ENSG00000206527,chr3:123208667-123209666,chr3:123304033-123305032,51
chr2,chr2:219422400-219424800,ENSG00000144580,chr2:219432303-219433302,chr2:219461804-219462803,51
chr16,chr16:67293400-67295800,ENSG00000135723,chr16:67262290-67263289,chr16:67281562-67282561,51
chr19,chr19:52647400-52648200,ENSG00000204611,chr19:52615344-52616343,chr19:52643176-52644175,51
chr1,chr1:153962400-153963200,ENSG00000160741,chr1:153919145-153920144,chr1:153931102-153932101,51
chr7,chr7:7203800-7205800,ENSG00000106392,chr7:7195565-7196564,chr7:7288283-7289282,52
chr6,chr6:30018400-30018800,ENSG00000066379,chr6:30025676-30026675,chr6:30032687-30033686,52
chr7,chr7:148941400-148943400,ENSG00000170260,chr7:148935742-148936741,chr7:148952701-148953700,52
chr10,chr10:45503000-45504600,ENSG00000165512,chr10:45494923-45495922,chr10:45500775-45501774,52
chr12,chr12:105365000-105365800,ENSG00000136052,chr12:105195331-105196330,chr12:105352523-105353522,52
chr2,chr2:27829600-27830800,ENSG00000198522,chr2:27850114-27851113,chr2:27874376-27875375,52
chr1,chr1:200706800-200708000,ENSG00000118197,chr1:200592024-200593023,chr1:200639098-200640097,52
chr6,chr6:99963600-99964600,ENSG00000123552,chr6:99879190-99880189,chr6:99969605-99970604,52
chr5,chr5:61707600-61708400,ENSG00000086200,chr5:61698799-61699798,chr5:61924410-61925409,52
chr1,chr1:151998800-152000600,ENSG00000163191,chr1:152003982-152004981,chr1:152020384-152021383,52
chr1,chr1:145517000-145519000,ENSG00000121851,chr1:145455236-145456235,chr1:145470389-145471388,52
chr1,chr1:54596800-54599200,ENSG00000157211,chr1:54597747-54598746,chr1:54619444-54620443,52
chr11,chr11:73867800-73869200,ENSG00000214517,chr11:73881144-73882143,chr11:73965749-73966748,52
chr4,chr4:47821200-47823000,ENSG00000145244,chr4:47595015-47596014,chr4:47840124-47841123,52
chr11,chr11:85376600-85378200,ENSG00000137504,chr11:85369752-85370751,chr11:85393952-85394951,52
chr8,chr8:16435200-16437000,ENSG00000038945,chr8:15964387-15965386,chr8:16425000-16425999,52
chr12,chr12:21914200-21915600,ENSG00000111716,chr12:21787276-21788275,chr12:21910792-21911791,52
chr19,chr19:3349000-3351200,ENSG00000141905,chr19:3358561-3359560,chr19:3469216-3470215,52
chr5,chr5:17069600-17071600,ENSG00000176788,chr5:17064707-17065706,chr5:17276944-17277943,52
chr16,chr16:84668600-84670000,ENSG00000103187,chr16:84598200-84599199,chr16:84651684-84652683,52
chr22,chr22:50763200-50765600,ENSG00000196576,chr22:50712408-50713407,chr22:50746057-50747056,52
chrX,chrX:99917200-99919200,ENSG00000102359,chrX:99898215-99899214,chrX:99926297-99927296,52
chr14,chr14:23114400-23116800,ENSG00000255804,chr14:23101673-23102672,chr14:23103717-23104716,52
chr4,chr4:74853400-74855400,ENSG00000163735,chr4:74860359-74861358,chr4:74864497-74865496,52
chr2,chr2:128452600-128454400,ENSG00000072163,chr2:128394956-128395955,chr2:128439361-128440360,52
chr2,chr2:17687600-17690000,ENSG00000214842,chr2:17690851-17691850,chr2:17699707-17700706,52
chr5,chr5:16480800-16481800,ENSG00000173545,chr5:16450628-16451627,chr5:16465902-16466901,52
chr12,chr12:10572600-10573800,ENSG00000213809,chr12:10523952-10524951,chr12:10544474-10545473,52
chr1,chr1:12020000-12022400,ENSG00000116688,chr1:12039238-12040237,chr1:12073572-12074571,52
chr6,chr6:30616000-30617800,ENSG00000137404,chr6:30654824-30655823,chr6:30659198-30660197,52
chr2,chr2:27590800-27592600,ENSG00000115207,chr2:27547716-27548715,chr2:27579869-27580868,52
chr19,chr19:49532400-49533600,ENSG00000189052,chr19:49546141-49547140,chr19:49548569-49549568,52
chr1,chr1:6634200-6635400,ENSG00000162408,chr1:6580407-6581406,chr1:6614596-6615595,52
chrX,chrX:48345400-48347600,ENSG00000068438,chrX:48333541-48334540,chrX:48344753-48345752,52
chr7,chr7:99007400-99009600,ENSG00000214314,chr7:99039552-99040551,chr7:99040748-99041747,52
chr7,chr7:213000-215400,ENSG00000177706,chr7:191969-192968,chr7:300712-301711,52
chr1,chr1:145508400-145509600,ENSG00000121851,chr1:145455236-145456235,chr1:145470389-145471388,52
chr9,chr9:107993600-107995200,ENSG00000070214,chr9:108005903-108006902,chr9:108201453-108202452,52
chr1,chr1:45964000-45965200,ENSG00000117450,chr1:45975708-45976707,chr1:45988720-45989719,52
chr12,chr12:10588000-10589400,ENSG00000205810,chr12:10563911-10564910,chr12:10573195-10574194,52
chr7,chr7:101260800-101263000,ENSG00000106436,chr7:101255605-101256604,chr7:101272577-101273576,52
chr11,chr11:35588600-35590400,ENSG00000179431,chr11:35638735-35639734,chr11:35642420-35643419,52
chr7,chr7:148953600-148955400,ENSG00000170260,chr7:148935742-148936741,chr7:148952701-148953700,52
chr10,chr10:31298200-31298400,ENSG00000183621,chr10:31108136-31109135,chr10:31320867-31321866,52
chr11,chr11:66763400-66765800,ENSG00000173237,chr11:66741748-66742747,chr11:66744476-66745475,52
chr19,chr19:46309200-46310400,ENSG00000104936,chr19:46271975-46272974,chr19:46285811-46286810,52
chr5,chr5:7857400-7859200,ENSG00000124279,chr5:7858272-7859271,chr5:7869151-7870150,52
chr12,chr12:66541600-66543000,ENSG00000139233,chr12:66515842-66516841,chr12:66524549-66525548,52
chr12,chr12:78207000-78209000,ENSG00000067798,chr12:78223685-78224684,chr12:78606791-78607790,52
chr8,chr8:38969800-38971400,ENSG00000197140,chr8:38963509-38964508,chr8:39142431-39143430,52
chr2,chr2:182842000-182843800,ENSG00000150722,chr2:182817968-182818967,chr2:182996126-182997125,52
chr2,chr2:75448800-75450600,ENSG00000115353,chr2:75272590-75273589,chr2:75426827-75427826,52
chr4,chr4:108182000-108183400,ENSG00000155011,chr4:107841959-107842958,chr4:108204964-108205963,52
chr19,chr19:55919200-55920600,ENSG00000180043,chr19:55865276-55866275,chr19:55874629-55875628,52
chr10,chr10:92632400-92634800,ENSG00000148680,chr10:92499578-92500577,chr10:92617672-92618671,52
chr19,chr19:10241800-10243400,ENSG00000130811,chr19:10224693-10225692,chr19:10230597-10231596,52
chr16,chr16:22109800-22111600,ENSG00000175267,chr16:22102859-22103858,chr16:22168288-22169287,52
chr17,chr17:79667400-79669600,ENSG00000185359,chr17:79649356-79650355,chr17:79670169-79671168,52
chr11,chr11:130301200-130302400,ENSG00000134917,chr11:130273820-130274819,chr11:130298889-130299888,52
chr1,chr1:39418600-39419800,ENSG00000158315,chr1:39350479-39351478,chr1:39407472-39408471,52
chr11,chr11:7067400-7068800,ENSG00000158077,chr11:7040677-7041676,chr11:7092540-7093539,52
chr1,chr1:94985400-94986600,ENSG00000117525,chr1:94993781-94994780,chr1:95007357-95008356,52
chr3,chr3:52821400-52822600,ENSG00000055957,chr3:52810603-52811602,chr3:52826079-52827078,52
chr9,chr9:35810000-35811800,ENSG00000159899,chr9:35791151-35792150,chr9:35809730-35810729,52
chr11,chr11:7067400-7068800,ENSG00000149050,chr11:7019549-7020548,chr11:7041600-7042599,52
chr2,chr2:190549600-190551400,ENSG00000151687,chr2:190538016-190539015,chr2:190625920-190626919,52
chr17,chr17:30482800-30485200,ENSG00000214708,chr17:30467245-30468244,chr17:30470155-30471154,52
chr12,chr12:10606800-10607800,ENSG00000255641,chr12:10563911-10564910,chr12:10588601-10589600,52
chr5,chr5:31537200-31538800,ENSG00000082213,chr5:31531373-31532372,chr5:31555166-31556165,52
chr15,chr15:71416800-71419000,ENSG00000225362,chr15:71401583-71402582,chr15:71407834-71408833,52
chr20,chr20:33063800-33065200,ENSG00000125971,chr20:33103214-33104213,chr20:33128763-33129762,52
chr9,chr9:111792600-111794600,ENSG00000119326,chr9:111703851-111704850,chr9:111775810-111776809,52
chr4,chr4:139172600-139174600,ENSG00000151012,chr4:139084251-139085250,chr4:139163504-139164503,52
chr13,chr13:43125400-43126200,ENSG00000120659,chr13:43135872-43136871,chr13:43182150-43183149,52
chr5,chr5:112844200-112845400,ENSG00000171444,chr5:112356796-112357795,chr5:112824528-112825527,52
chr11,chr11:85376600-85378200,ENSG00000179071,chr11:85393893-85394892,chr11:85397321-85398320,52
chr6,chr6:136187600-136189000,ENSG00000171408,chr6:136171834-136172833,chr6:136516713-136517712,52
chr7,chr7:77153600-77155800,ENSG00000127947,chr7:77165592-77166591,chr7:77269389-77270388,52
chr7,chr7:130026600-130028600,ENSG00000091704,chr7:130019180-130020179,chr7:130027956-130028955,52
chr6,chr6:116900000-116902000,ENSG00000111832,chr6:116891530-116892529,chr6:116918839-116919838,52
chr7,chr7:45131400-45133600,ENSG00000136274,chr7:45119037-45120036,chr7:45128514-45129513,52
chr7,chr7:75490200-75492000,ENSG00000005486,chr7:75470920-75471919,chr7:75518245-75519244,52
chr19,chr19:13884200-13885200,ENSG00000132003,chr19:13905274-13906273,chr19:13943045-13944044,52
chr12,chr12:54118400-54120600,ENSG00000135390,chr12:54025510-54026509,chr12:54071193-54072192,52
chr1,chr1:223866400-223868000,ENSG00000162909,chr1:223888295-223889294,chr1:223963721-223964720,52
chr1,chr1:101168600-101170600,ENSG00000162692,chr1:101184298-101185297,chr1:101204602-101205601,52
chr6,chr6:52746200-52748200,ENSG00000174156,chr6:52760437-52761436,chr6:52774484-52775483,52
chr14,chr14:52710000-52711800,ENSG00000168229,chr14:52733431-52734430,chr14:52743443-52744442,52
chr20,chr20:30965800-30967000,ENSG00000171456,chr20:30945155-30946154,chr20:31027123-31028122,52
chr14,chr14:53236000-53238200,ENSG00000100522,chr14:53240912-53241911,chr14:53258387-53259386,52
chr5,chr5:118399000-118400400,ENSG00000172869,chr5:118372467-118373466,chr5:118584834-118585833,52
chr10,chr10:103887000-103888600,ENSG00000198728,chr10:103866317-103867316,chr10:103880211-103881210,52
chrX,chrX:102890000-102890800,ENSG00000172465,chrX:102882632-102883631,chrX:102885882-102886881,52
chr11,chr11:9323000-9325000,ENSG00000166471,chr11:9301201-9302200,chr11:9336328-9337327,52
chr22,chr22:38457400-38459600,ENSG00000100151,chr22:38451318-38452317,chr22:38471709-38472708,52
chr3,chr3:179033400-179034800,ENSG00000121864,chr3:179039779-179040778,chr3:179053324-179054323,52
chrX,chrX:24131000-24132200,ENSG00000005889,chrX:24166290-24167289,chrX:24234373-24235372,52
